Name,Strength,Vision,Outcome
10,3.54981,1.45019,0
11,2.56766,2.43234,0
12,1.80343,3.19657,0
13,1.93308,3.06692,0
14,2.56515,2.43485,0
15,4.73209,0.267905,0
16,2.18338,2.81662,0
18,4.4774,0.522599,0
20,1.02155,3.97845,0
21,1.58833,3.41167,0
13,2.98451,2.01549,1
15,3.31871,1.68129,1
16,2.69785,2.30215,1
18,3.16909,1.83091,1
12,2.19003,2.80997,1
2,4.26752,0.732485,0
3,2.12981,2.87019,0
4,1.31898,3.68102,0
5,1.36688,3.63312,0
6,3.80476,1.19524,0
7,4.31165,0.688352,0
8,2.04358,2.95642,0
9,0.170548,4.82945,0
10,1.98437,3.01563,0
11,1.05489,3.94511,0
